id,title,hashtags,view_count,duration,channel,channel_id,description,description_links,created_at,like_count,dislike_count,subscriber_count,hours ago posted,total_interactions,video_url
xOQsRt6H8CBi,Why Are They Building SECRET DETENTION CAMPS in All 50 States? w/ J.J. Carrell,No Hashtags,149,57:01,bc1qmcff7k4xq9y3wm6l6ddgzkftu0rq6v44wfcv4q,united-by-truth,No Description,[],3 hours ago,2,1,1125,3,152,https://api.bitchute.com/video/xOQsRt6H8CBi
a3fW1zuQZ4A,Currency Wars Ignite as US Places Japan Back on Manipulator Watchlist: Gareth Soloway,No Hashtags,95,27:51,ITM Trading,itmtradinginc,"The U.S. plan to put Japan back on the currency manipulator watch list underscores the significance of Japan dumping U.S. debt, says Gareth Soloway, Chief Market Strategist at VerifiedInvesting. He explains to Daniela Cambone how Japan’s move impacts interest rates, pushing them up artificially due to the excess supply in the market. “It actually could take control away from the Federal Reserve in terms of monetary policy. And that's where things get really messy,” he warns. On gold, Soloway remains bullish long-term, noting that if key players in monetary supply are accumulating gold, it signals a crucial insight into the market's future direction. “If the players that are creating the monetary supply are loading up on gold, it tells us everything we need to know,” he states. Watch the insightful interview to learn more about his views on the economy and other precious metals.


📰 JOIN DANIELA'S NEWSLETTER: <https://learn.itmtrading.com/daniela>


📞 PROTECT YOUR WEALTH AND ASSETS: Learn how to secure your retirement from market crashes, inflation, de-dollarization, and other hidden threats that could jeopardize your future plans. Schedule your in-depth strategy session today. <https://calendly.com/itmtrading/500?utm_content=DC07022024> or call 866-706-9061


""ITM did a great job of educating me on the history of the dollar, the financial markets, the banks, gold, and the laws so that I had a better understanding of things."" - Kristen W.


📖 FREE DOWNLOAD: YOUR ULTIMATE DECISION-MAKING GUIDE ON GOLD AND SILVER: <https://learn.itmtrading.com/buyers-guide-dc?VID=DC07022024>


📖 CHAPTERS:  
00:00 Powell’s comment on the economy  
2:58 Disconnect between the economy and government data  
4:44 U.S. dollar  
6:20 U.S. and Japan  
8:05 Japan dumping the U.S. debt  
9:04 Japan’s economy  
11:29 Gold price  
14:06 Gold retail investors sentiment   
14:58 Silver  
16:26 Palladium  
17:26 Bitcoin  
20:48 Solana  
22:02 NVDA  
25:16 Roaring Kitty ""cult""


👋 STAY IN TOUCH WITH ITM & DANIELA


🟩 Schedule a Strategy ..

","['https://learn.itmtrading.com/daniela', 'https://calendly.com/itmtrading/500?utm_content=DC07022024', 'https://learn.itmtrading.com/buyers-guide-dc?VID=DC07022024']",21 hours ago,1,0,758,21,96,https://api.bitchute.com/video/a3fW1zuQZ4A
_3FfX89xUy4,Global Bioengineering: A History of Blood Clotting with Clifford Carnicom,No Hashtags,77,3:58,Solari Report,solarireport,"By Elze van Hamelen


Increasingly, global spraying or “geoengineering” is becoming a topic of open discussion, with pictures of sprayed skies trending on social media, and states like Tennessee, Minnesota, and New Hampshire passing or introducing bills to ban the spraying operations in their states. However, while many people and politicians are only now asking questions about what is in our skies, this week’s guest, independent researcher Clifford Carnicom, began asking those questions over 25 years ago.


Full Report: <https://home.solari.com/global-bioengineering-a-history-of-blood-clotting-with-clifford-carnicom/> 


Subscribe to [shop.solari.com](http://shop.solari.com)

","['https://home.solari.com/global-bioengineering-a-history-of-blood-clotting-with-clifford-carnicom/', 'http://shop.solari.com']",3 hours ago,8,0,4759,3,85,https://api.bitchute.com/video/_3FfX89xUy4
MkdSoqwtm3k,How FED Destroys The Housing Market!,No Hashtags,57,0:56,Jason Hartman,jasonhartman,No Description,[],19 hours ago,0,0,252,19,57,https://api.bitchute.com/video/MkdSoqwtm3k
pAdjy7u6Lfvx,"Bitcoin $150K this year?? Fiat is robbing you, OpenSats Bitcoin grants, Nostr - Ep.148","#bitcoin,#btc,#nostr",52,10:55,Fractal Bitcoin,fractalbitcoin,"Today’s Bitcoin news! 


PRICE UPDATE: 


Today Bitcoin’s price has dropped a tiny bit into the $62k range. Patience. 


BULLISH: 


JUST IN: #Bitcoin price will still hit $150K this year - Fundstrat's Tom Lee. POST: <https://x.com/BTC_Archive/status/1808091243609808961>


This is my favorite bitcoin metric and it tells me that I should be open to $300,000 BTC in 2025… POST: <https://x.com/apsk32/status/1807588157564543174>


#Bitcoin is the King 👑. POST: <https://x.com/Swan/status/1808176716575302086>


NEVER FORGET: 


Bitcoin price: $80. Today, everyone who didn't listen is up 80,000% ✨. POST: <https://x.com/pete_rizzo_/status/1808107231822401673>


January, 3rd 2009 is the World's 4th of July. POST: <https://primal.net/e/note1yvc05zshd8j52knla4xk5pc7sy80ahl7hugxaxd5yew7cy075rkq36q9xl>


FIAT/GOVERNMENT NONSENSE: 


JUST IN: 🇦🇷 Argentina's President Milei says the nation will no longer print money: We are going to the zero issuance stage....what we aim for is that the broad monetary base does not vary.” Inflation in Argentina is was 64% in the first 4 months of 2024. POST: <https://x.com/RadarHits/status/1808081767833681985>


The New York Times: The first Amendment is out of control. Max Keiser @maxkeiser: No. Money printing is out of control. The people who control money printing are blaming free speech for their collapse. #Bitcoin kills fiat money & central banks. #Bitcoin guarantees free speech. POST: <https://x.com/maxkeiser/status/1808181881147437060>


When all the productivity gains of the last centuries are distributed to a few through government money printing. R.I.P. Europe. POST: <https://primal.net/e/note1vlarjdty0wcp0g7fvlr6srqgjmk3rny49k8uv0ugzg576ksgw2jqhvl2xh>


Mars bar: 2000 vs 2024 #shrinkflation. POST: <https://x.com/JayW132/status/1807745138304684329>


DEVELOPMENT: 


OpenSats Announces 5th Wave of Bitcoin Grants. OpenSats, a non-profit organization that supports the development of free and open-source software and projects, has announced its 5th wave of Bitcoin grants for 10 more Bitcoin projects. ARTICLE: <https://www.nobsbitcoin.com/opensats-announces-5th-wave-of-bitcoin-grants/>


BITCOIN AND NOSTR: 


🧡 #Bitcoin #Nostr 💜. POST: <https://primal.net/e/note1vkfalrk4x9f7uv46tjc3p6s2dzrkt7euufawktuv4k6s2v3fcflq2z5cx2>


Subscribe to Fractal Bitcoin for your daily Bitcoin news! 


…and share our channel with that one friend you have that would probably love quick Bitcoin news every day ;) 


Join our Locals community (free) — <https://fractalbitcoin.locals.com/>

","['https://x.com/BTC_Archive/status/1808091243609808961', 'https://x.com/apsk32/status/1807588157564543174', 'https://x.com/Swan/status/1808176716575302086', 'https://x.com/pete_rizzo_/status/1808107231822401673', 'https://primal.net/e/note1yvc05zshd8j52knla4xk5pc7sy80ahl7hugxaxd5yew7cy075rkq36q9xl', 'https://x.com/RadarHits/status/1808081767833681985', 'https://x.com/maxkeiser/status/1808181881147437060', 'https://primal.net/e/note1vlarjdty0wcp0g7fvlr6srqgjmk3rny49k8uv0ugzg576ksgw2jqhvl2xh', 'https://x.com/JayW132/status/1807745138304684329', 'https://www.nobsbitcoin.com/opensats-announces-5th-wave-of-bitcoin-grants/', 'https://primal.net/e/note1vkfalrk4x9f7uv46tjc3p6s2dzrkt7euufawktuv4k6s2v3fcflq2z5cx2', 'https://fractalbitcoin.locals.com/']",21 hours ago,0,0,16,21,52,https://api.bitchute.com/video/pAdjy7u6Lfvx
cfs8V3NKtnXw,What Are Typical Returns For Major Traditional Investments?,"#bitcoin,#cryptocurrency,#investments",49,13:45,BackToConstitution,backtoconstitution,"Looking at investments and comparing them with the past 13 years of performance of bitcoin

",[],20 hours ago,0,0,4150,20,49,https://api.bitchute.com/video/cfs8V3NKtnXw
cmDGMN8lGDEz,First One: Democratic congressman calls for Biden to withdraw from 2024 race,"#biden,#democrats,#election",32,5:34,@BoogieFinger,boogiefinger,"Jul 2, 2024  
Rep. Lloyd Doggett of Texas has become the first Democratic lawmaker to call for President Biden to withdraw from the 2024 presidential race against former President Donald Trump. CBS News congressional correspondent Scott MacFarlane is following the reactions to Mr. Biden's debate performance.

",[],20 hours ago,1,0,849,20,33,https://api.bitchute.com/video/cmDGMN8lGDEz
4bDaysl2mMw,nothing matters until you acquire this asset [MUST WATCH!],No Hashtags,32,28:36,Nicholas Merten,nicholasmerten,"#bitcoin #crypto #stocks   
Consider dropping a like if you enjoyed the video and say hello to Russ! 👍


A free trade of 500 USDT on ByBit as mentioned: <https://partner.bybit.com/b/ddash500>


To get access to free Russ's Alerts on Telegram, sign up for the DashReport 💹➡️ <http://nicholasmerten.com/dashreport/>


I will provide my broader trades and intraweek updates on Twitter :   
<https://twitter.com/RSvinia>


00:00 - The Proven Model To Analyse Any Market  
04:55 - How Do I Build Conviction And Apply It (Step-By-Step Guide)  
23:38 - Silver And Other Asset Classes  
----------------------------------------------------------------------------------------------------------  
If you want me to be able to contact you in case of further issues, here's our email list: <https://forms.gle/ADorNSFkkGbggJHY6>


What are your thoughts on what we discussed? Feel free to leave a comment below! Thank you all so much for watching the video. If you enjoyed the video, please consider dropping a like, subscribing, and ringing the bell icon.


----------------------------------------------------------------------------------------------------------  
👥 For advertising, consulting, speaking, or other business inquiries  
reach out to us at: <http://nicholasmerten.com/advertising/>


Alternatively, feel free to reach us at: [contactdatadash@gmail.com](mailto:contactdatadash@gmail.com)  
----------------------------------------------------------------------------------------------------------


WARNING:


I WILL NEVER PURSUE PROJECTS THROUGH TELEGRAM OR OTHER SOCIAL MEDIA OUTLETS. CONTACT MY EMAIL LISTED BELOW FIRST AND THEN VERIFY MY IDENTITY THROUGH A VIDEO CALL BEFORE MOVING FORWARD WITH SPONSORSHIPS. THERE ARE MANY SCAMMERS IN CRYPTO. EMAIL SPOOFING IS RAMPANT, SO VERIFY MY IDENTITY THROUGH VIDEO


BEWARE OF SCAM COMMENTS REQUESTING YOU TO SEND FUNDS. THESE ARE IMPERSONATORS, AS WE WILL NEVER REQUEST YOU TO SEND PAYMENTS


Disclaimer: DataDash (""Company"") and The Dash Report are not an investment advisory service, nor a registere..

","['https://partner.bybit.com/b/ddash500', 'http://nicholasmerten.com/dashreport/', 'https://twitter.com/RSvinia', 'https://forms.gle/ADorNSFkkGbggJHY6', 'http://nicholasmerten.com/advertising/', 'mailto:contactdatadash@gmail.com']",5 hours ago,0,0,173,5,32,https://api.bitchute.com/video/4bDaysl2mMw
4SDDxJrrPHU,Trading Futures Order Flow 01 Jul 2024,No Hashtags,31,2:29:35,Speculator Seth,speculatorseth,"Free 2 tweek trial of my NinjaTrader Indicator package: <http://www.speculatorseth.com>


Please check out the below affiliate links. The channel gets a commission from affiliate links, and that goes into making better content for the channel. 


Jigsaw Daytradr Independent coupon:  
 <https://members.jigsawtrading.com/signup/Independent?coupon=speculatorseth>


Journalytix subscription coupon:  
<https://members.jigsawtrading.com/signup/JRetail/?coupon=speculatorseth>


FinancialJuice News Squawk Affiliate Link: <https://rl110.isrefer.com/go/SETH/SETH/>


Get your TRADERS GONNA TRADE mug: <https://merch.streamelements.com/speculatorseth>


SpeculatorSeth on TikTok:   
<https://tiktok.com/@SpeculatorSeth>  
<https://tiktok.com/@RealStockMarketSteve>


SpeculatorSeth on Facebook: <https://www.facebook.com/SpeculatorSeth-367030897234872>  
Order Flow: <https://www.facebook.com/groups/421730445190982/>  
Treasuries: <https://www.facebook.com/groups/983601728692661/>


Permanent Livestream URL: <https://www.youtube.com/c/SpeculatorSeth/live>


Join our discord server! <https://discord.gg/8XemVjc>  
Become a subscriber to my patreon campaign for exclusive indicators and data!: <https://www.patreon.com/SpeculatorSeth> 


Hypothetical Performance Disclosure:


Hypothetical performance results have many inherent limitations, some of which are described below. no representation is being made that any account will or is likely to achieve profits or losses similar to those shown; in fact, there are frequently sharp differences between hypothetical performance results and the actual results subsequently achieved by any particular trading program. One of the limitations of hypothetical performance results is that they are generally prepared with the benefit of hindsight. In addition, hypothetical trading does not involve financial risk, and no hypothetical trading record can completely account for the impact of financial risk of actual trading. for example, the ability to withstand losses or to adhere to a particular trading..

","['http://www.speculatorseth.com', 'https://members.jigsawtrading.com/signup/Independent?coupon=speculatorseth', 'https://members.jigsawtrading.com/signup/JRetail/?coupon=speculatorseth', 'https://rl110.isrefer.com/go/SETH/SETH/', 'https://merch.streamelements.com/speculatorseth', 'https://tiktok.com/@SpeculatorSeth', 'https://tiktok.com/@RealStockMarketSteve', 'https://www.facebook.com/SpeculatorSeth-367030897234872', 'https://www.facebook.com/groups/421730445190982/', 'https://www.facebook.com/groups/983601728692661/', 'https://www.youtube.com/c/SpeculatorSeth/live', 'https://discord.gg/8XemVjc', 'https://www.patreon.com/SpeculatorSeth']",22 hours ago,0,0,14,22,31,https://api.bitchute.com/video/4SDDxJrrPHU
olKC74f5gyQP,Send high-quality video emails using O-Mail.,"#onpassive,#AIbusinessBOOSTorg,#ashmufareh",29,0:21,Kasper Breinholt,aibusinessboostorg,"Looking for a fresh start with a unique email-adress? Get your new, free AI-powered OMAIL now! Act fast to claim your dream address – [yourname@omail.ai](mailto:yourname@omail.ai). Don’t miss out, secure your perfect email today! Get an FREE AI O-Mail from ONPASSIVE: <https://o-trim.co/pressHERE> 

","['mailto:yourname@omail.ai', 'https://o-trim.co/pressHERE']",11 hours ago,0,0,10,11,29,https://api.bitchute.com/video/olKC74f5gyQP
