id,title,hashtags,view_count,duration,channel,channel_id,description,description_links,created_at,like_count,dislike_count,subscriber_count,hours ago posted,total_interactions,video_url
Z0D9JccIh7FV,She told him he could tie her up and do anything he wants...,No Hashtags,6335,0:17,PIRATEPETE,piratepete,"mirrored from rumble  
IMO this guy has his priorities all mixed up. I'm not a gamer.  
NOTE: I am unable to access the ""NEW"" bitchute. I keep getting an error message. This began a few days ago... Thankfully I figured out how to access the ''old bitchute''. I have emailed bitchute but they have not replied to my email yet. I was so frustrated trying to log on to here, so I gave up. I'm not sure if anyone will see this video or message. Did we want a ""NEW"" bitchute??? WTF   
IMO they implemented it to further censor or track us. For now I will be using the [old.bitchute.com](http://old.bitchute.com) site.

",['http://old.bitchute.com'],19 hours ago,108,21,18149,19,6464,https://api.bitchute.com/video/Z0D9JccIh7FV
H7XEkx0Ro2OG,CHARLIE WARD DAILY NEWS WITH PAUL BROOKER & DREW DEMI - WEDNESDAY 3RD JULY 2024,"#charlieward,#dailynews,#breaking",4623,17:11,Dr Charlie Ward 🔵✔️,drcharlieward,"Thinking of buying gold or switching your 401k to Gold visit [www.goldbusters.co.uk/](http://www.goldbusters.co.uk/) and speak to Adam and James  
Join Charlie on his Insiders Club every Wednesday & Saturday [www.charlieward.com](http://www.charlieward.com)  
FOLLOW CHARLIE ON TELEGRAM NEW LINK <https://t.me/officialcharliewardfriends>  
TO JOIN CHARLIE WARD ON TRUTH SOCIAL NETWORK  
CLICK HERE <https://truthsocial.com/@drcharlieward>

","['http://www.goldbusters.co.uk/', 'http://www.charlieward.com', 'https://t.me/officialcharliewardfriends', 'https://truthsocial.com/@drcharlieward']",10 hours ago,157,14,137911,10,4794,https://api.bitchute.com/video/H7XEkx0Ro2OG
GAWFNng7zai1,''We are ALL in trouble'' - Edward Snowden ... [Published Today],No Hashtags,2748,8:07,XANDREWX,xandrewx,No Description,[],23 hours ago,15,13,33721,23,2776,https://api.bitchute.com/video/GAWFNng7zai1
G0XNXJOIqrM3,RESET MAPS [2023-11-07] - CONSPIRACY-R-US (VIDEO),No Hashtags,1610,10:23,Sergeant Major,sergeant-major,"Looking into interesting maps of the Land Down Under. -- CONSPIRACY-R-US


The root breakdown of the word GOVERNMENT is GOVERN (TO CONTROL) and MENT (THE MIND). Governments are MIND CONTROL ORGANIZATIONS, put in place to keep the Unconscious Sheeple (aka Citizens) DUMBED DOWN, DIVIDED, and CONQUERED.


Science is FAKE, Science is a RELIGION, Science is SCIENCE FICTION. DON'T BE BLINDED BY SCIENCE!!!


The JEWISH GLOBALIST COMMUNIST SATANIC CABAL have plans to bring forth their New World Order agenda, UN Agenda 21, and UN Agenda 2030. The ATF, FBI, CIA, CAA, NSA, DEA, DOD, DHS, DOJ, NATO, FEMA (and often State Police in Blue states) are all Globalist Terrorist Organizations, they are not agencies/organizations protecting us from foreign & domestic enemies or following the US Constitution & Bill of Rights, but rather THEY ARE THE ENEMY, THEY ARE THE CRIMINALS, THEY ARE THE TERRORISTS, THEY ARE THE ONES COMMITTING THE FALSE FLAG ""HOAX"" EVENTS. The Democrats, RINOs, & NeoCons are ALL GLOBALISTS. They are using the WEF, UN, EU, & other organizations to turn the Free Range Slaves into 15 minute city & FEMA Prison Camp Slaves. 


THE MYTH OF AUTHORITY - AMANDA ROSE  
<https://www.bitchute.com/video/xGIHac7GvY2K/>


WE ARE NOT THE GOVERNMENT - CAREY WEDLER  
<https://www.bitchute.com/video/wWO8HvxzneVn/>


THE PROTOCOLS OF THE LEARNED ELDERS OF ZION [1903]  
<https://www.bitchute.com/video/by1qH8USRQ1D/>


THE SYNAGOGUE OF SATAN  
<https://www.bitchute.com/video/SBYy4BCWhgP9/>


AGENDA 2: MASTERS OF DECEIT [2016] - CURTIS BOWERS  
<https://www.bitchute.com/video/0vRxb3eCxFAJ/>


GLOBALISM: THE DESTRUCTION OF AMERICA & EUROPE [2023] - DAVID DUKE  
<https://www.bitchute.com/video/0DsEhIvw1oZF/>


GLOBALIST ELITE NWO COMMUNIST TAKEOVER OF THE USA [1958 & 1974] - ROBERT W. WELCH JR.  
<https://www.bitchute.com/video/JKqExcuf01ah/>


JEWISH GLOBALIST COMMUNIST SATANIC CABAL [2000] - WILLIAM LUTHER PIERCE III  
<https://www.bitchute.com/video/hiC4r0fTFU4o/>


RARE 1967 RECORDING: ROTHSCHILD DYNASTY AND THE THREE WORLD WARS - MYRON FAGAN  
<https://www.bitchute.com/video/Qrh3oSo7yN9u/>


DAVID GOLDBERG'S FINAL WORDS ON NWO ZIONISM BEFORE HE WAS ASSASSINATED [2019] - DAVID GOLDBERG  
<https://www.bitchute.com/video/18jwLgk8PJDd/>


THE HIDDEN TYRANNY (THE ROSENTHAL DOCUMENT) [1976] - HAROLD WALLACE ROSENTHAL  
<https://www.bitchute.com/video/XClmyNOpLbCQ/>


ADOLF HITLER WARNED HUMANITY BUT WE DIDN'T LISTEN!!!  
<https://www.bitchute.com/video/iy78HFuib4GG/>


ADOLF HITLER: THE MAN WHO FOUGHT AGAINST THE NEW WORLD ORDER TAKEOVER  
<https://www.bitchute.com/video/QmKcLF4GGv5l/>


ADOLF HITLER VS. THE JEW WORLD ORDER - ERIC DUBAY  
<https://www.bitchute.com/video/lslBj2u4v3Uw/>


ADOLF HITLER: THE GREATEST STORY NEVER TOLD! [2013] - DENNIS WISE  
<https://www.bitchute.com/video/3ThOVk0CQAqD/>


NEW WORLD ORDER: COMMUNISM BY THE BACK DOOR [2014] - DENNIS WISE  
<https://www.bitchute.com/video/rHVljnZ61Vtc/>


THE SECRET MASONIC VICTORY OF WW2 [2019] - DENNIS WISE  
<https://www.bitchute.com/video/U14b2LI5aXEi/>


HITLER'S WAR?: WHAT THE HISTORIANS NEGLECT TO MENTION [2009]  
<https://www.bitchute.com/video/rTaNbHRPy8u9/>


ADOLF HITLER: A LAST APPEAL TO REASON [2017] - THE IMPARTIAL TRUTH  
<https://www.bitchute.com/video/B2JaGq96PK4i/>


EUROPA: THE LAST BATTLE [2017] - TOBIAS BRATT  
<https://www.bitchute.com/video/Ytd5eIL05T24/>


6,000,000 LIES  
<https://www.bitchute.com/video/Jka8GggwBHl1/>


“SIX MILLION JEWS” (1915-1938) - TRANS22  
<https://www.bitchute.com/video/V11Dpsgbhe41/>


GENERAL GEORGE S. PATTON: WE DEFEATED THE WRONG ENEMY - PETER HAMMOND  
<https://www.bitchute.com/video/KxjhoufjlKTg/>


HITLER VS. ROTHSCHILD [2022]  
<https://www.bitchute.com/video/CGc77J3AqSSE/>


""The 5 rules to AWAKENING: Rule #1 - Everything you were ever taught is a lie by design; Rule #2 - governments lie 100% of the time, they always have, and they always will; Rule #3 - the Illuminati controlled mainstream media is not reality, but rather is lies, disinformation, half-truths, & fake events carried out by gov/media hired crisis actors (aka role players); Rule #4 - Spirituality & Reincarnation are reality, whereas religions are simply government crowd control measures; and Rule #5 - this plane(t) called earth is a flat, motionless plane, it is not a spinning ball hurling through outer space. Furthermore, the 4 Sources of Disinformation that are ALWAYS FAKE: government, mainstream media news, matrix sciences, & religions."" -- Sergeant Major [2010]

","['https://www.bitchute.com/video/xGIHac7GvY2K/', 'https://www.bitchute.com/video/wWO8HvxzneVn/', 'https://www.bitchute.com/video/by1qH8USRQ1D/', 'https://www.bitchute.com/video/SBYy4BCWhgP9/', 'https://www.bitchute.com/video/0vRxb3eCxFAJ/', 'https://www.bitchute.com/video/0DsEhIvw1oZF/', 'https://www.bitchute.com/video/JKqExcuf01ah/', 'https://www.bitchute.com/video/hiC4r0fTFU4o/', 'https://www.bitchute.com/video/Qrh3oSo7yN9u/', 'https://www.bitchute.com/video/18jwLgk8PJDd/', 'https://www.bitchute.com/video/XClmyNOpLbCQ/', 'https://www.bitchute.com/video/iy78HFuib4GG/', 'https://www.bitchute.com/video/QmKcLF4GGv5l/', 'https://www.bitchute.com/video/lslBj2u4v3Uw/', 'https://www.bitchute.com/video/3ThOVk0CQAqD/', 'https://www.bitchute.com/video/rHVljnZ61Vtc/', 'https://www.bitchute.com/video/U14b2LI5aXEi/', 'https://www.bitchute.com/video/rTaNbHRPy8u9/', 'https://www.bitchute.com/video/B2JaGq96PK4i/', 'https://www.bitchute.com/video/Ytd5eIL05T24/', 'https://www.bitchute.com/video/Jka8GggwBHl1/', 'https://www.bitchute.com/video/V11Dpsgbhe41/', 'https://www.bitchute.com/video/KxjhoufjlKTg/', 'https://www.bitchute.com/video/CGc77J3AqSSE/']",15 hours ago,31,2,60726,15,1643,https://api.bitchute.com/video/G0XNXJOIqrM3
rF0_ZqFvf34,The Battle Against Parasites,No Hashtags,812,0:44,Jordan Peterson,jordanpeterson,No Description,[],17 hours ago,13,16,18947,17,841,https://api.bitchute.com/video/rF0_ZqFvf34
-7-fDXUq5TM,Unveiling the Future of DotSwap and Bitcoin Innovations with Lin Zheming,No Hashtags,802,58:50,The Crypto Vigilante,crypto_vigilante,"Subscribe to our FREE newsletter at <https://cryptovigilante.io>


What’s up vigilantes? Let’s discover the future of cryptocurrency with Lin Zheming, the visionary founder and developer of DotWallet and DotSwap! 


Dive into the groundbreaking development of DotSwap.app, the first Runes AMM swap. Embrace the power of Layer-1 solutions and the unstoppable trend of on-chain scaling. Learn why the UTXO model is superior to Solana, Ethereum, or Doge in this amazing interview!


Explore the thrilling potential of building Atomic Swaps to swap Monero on the Bitcoin blockchain, the innovative concept of Bitcoin on-chain order books, and more!


Join us in this exciting journey and be part of the crypto revolution today!


Millionaire Crypto Analyst Reveals the Exact Crypto Wallet Setup He Wished He Had When Starting Out: <https://CryptoVigilante.io/crypto101>


Unlock exclusive benefits and premium content by subscribing today – don’t miss out, join now!: <https://cryptovigilante.io/subscribe/>


Get access to the lifetime replays of our TCV Summit: Ordinals, NFTs & On-Chain Economies Edition!  
<https://cdn.cryptovigilante.io/oppg-ordinals-summit-registration>


TCV Summit: Hardware Basics Edition | <https://cdn.cryptovigilante.io/hardware-basics-replays> ⬅️ Replay videos now available!


TCV WORKSHOP: Crypto Basics - <https://TCVworkshop.com>


Follow Rafael LaVerde: <https://twitter.com/vamosvigilante>


Earn crypto by watching HERE: <https://vigilante.tv/c/tcv.main>


BEWARE of scammers / imposters in comments. The Crypto Vigilante will never share a contact phone number, WhatsApp, Telegram account username, chat group, etc. in the video comments or via a direct message. Our only contact method is through [www.cryptovigilante.io](http://www.cryptovigilante.io)


👉 Follow The Crypto Vigilante on these channels:


Odysee (LBRY) | <https://odysee.com/@CryptoVigilante>  
   
BitChute | <https://www.bitchute.com/channel/crypto_vigilante>


Rumble | <https://rumble.com/user/cryptovigilante>


YouTube | <https://youtube.com/cryptovigilante>


Twitter..

","['https://cryptovigilante.io', 'https://CryptoVigilante.io/crypto101', 'https://cryptovigilante.io/subscribe/', 'https://cdn.cryptovigilante.io/oppg-ordinals-summit-registration', 'https://cdn.cryptovigilante.io/hardware-basics-replays', 'https://TCVworkshop.com', 'https://twitter.com/vamosvigilante', 'https://vigilante.tv/c/tcv.main', 'http://www.cryptovigilante.io', 'https://odysee.com/@CryptoVigilante', 'https://www.bitchute.com/channel/crypto_vigilante', 'https://rumble.com/user/cryptovigilante', 'https://youtube.com/cryptovigilante']",18 hours ago,1,7,2397,18,810,https://api.bitchute.com/video/-7-fDXUq5TM
WsIQOwsNycHD,As In The Days Of Noah The Final Countdown - Eyes To See And Ears To Hear!,No Hashtags,749,1:00:46,Shaking My Head Productions,shakingmyheadproductions,"Dollar Bill Secrets Hidden In Plain Sight - Room 101 - Watch Now: <https://youtu.be/3NCAI2Fyz-s>


\*\*\* Lots more hard hitting truth content in the Truth Vault on my website: <https://shakingmyheadproductions.com>


“And they had a king over them, which is the angel of the bottomless pit, whose name in the Hebrew tongue is Abaddon, but in the Greek tongue hath his name Apollyon.” Revelation 9:11


SMHP/Room 101 is viewer funded. \*\* If you appreciate this content and would like to help keep me going, please consider investing in this message. Every little bit helps. Please consider it to be a tip for my time and the quality of the content if you don't like the term donate. Thank you! Invest in SMHP / Independent Media. <https://shakingmyheadproductions.com/support-shaking-my-head-productions>


\*SMHP/Room 101 may not agree with everything from the content producers I share. Apply critical thinking and use discernment to come to your own conclusions regarding the content in the videos.  
........  
Mystery of Faith, 1977 Donald Trump's Mother UNVEILED (Sail To The Moon)  
<https://youtu.be/mjrAf-wrZvc?si=aI9JH7EIoVr6UQys>  
.....  
Bruce / Evan Almighty -- GOD-DOG code / SIRIUS #33 #77  
<https://youtu.be/VK44ZmOQdqo?si=5sCY1FStWMcNeI1w>  
........  
For the mystery of iniquity doth already work: only he who now letteth will let, until he be taken out of the way. And then shall that Wicked be revealed, whom the Lord shall consume with the spirit of his mouth, and shall destroy with the brightness of his coming: Even him, whose coming is after the working of Satan with all power and signs and lying wonders, And with all deceivableness of unrighteousness in them that perish; because they received not the love of the truth, that they might be saved. 


And for this cause God shall send them strong delusion, that they should believe a lie: That they all might be damned who believed not the truth, but had pleasure in unrighteousness. 2 Thessalonians 2:7-12   
...............................  
More Recommended Content:   
<https://shakingmyheadproductions.com/the-noahide-one-world-order>  
<https://shakingmyheadproductions.com/humans-2-0-the-nephilim-project-exposed-as-in-the-days-of-noah>  
...............................  
I am a one man operation that has been trying to bring you the truth since 2016. I would like to say thanks to all the watchmen out there that have been sounding the alarm over the last several years. This is not an easy job. I have been constantly trying to find and share the truth 7/365 since June of 2017. I held a corporate job before this and am glad I gave it up as your appreciation for the truth means everything to me. I love you all friends. I get worn down but thanks to my supportive subs and viewers, I march on just like the rest. Time is short. Yeshua Jesus Saves! Follow Him!

","['https://youtu.be/3NCAI2Fyz-s', 'https://shakingmyheadproductions.com', 'https://shakingmyheadproductions.com/support-shaking-my-head-productions', 'https://youtu.be/mjrAf-wrZvc?si=aI9JH7EIoVr6UQys', 'https://youtu.be/VK44ZmOQdqo?si=5sCY1FStWMcNeI1w', 'https://shakingmyheadproductions.com/the-noahide-one-world-order', 'https://shakingmyheadproductions.com/humans-2-0-the-nephilim-project-exposed-as-in-the-days-of-noah']",5 hours ago,27,2,32402,5,778,https://api.bitchute.com/video/WsIQOwsNycHD
5qGHj0rqmnQ,PSA Jakl - Full Review,No Hashtags,580,29:26,InRangeTV,inrangetv,"InRange is supported by viewers like you:  
<https://patreon.com/inrangetv>


Looking for a truly unbiased, actually capable review of the PSA Jakl?   
This is is it.

",['https://patreon.com/inrangetv'],5 hours ago,12,0,7467,5,592,https://api.bitchute.com/video/5qGHj0rqmnQ
X4iFPCjMuDJ4,ANOTHER HS COACH GETS PFIZER'S PILE DRIVER! RELEASE THE BALLOONS!,"#covid,#vaccine,#aneurysm",540,6:27,The Kurgan Report,the_kurgan_report,"Tommy looked pretty intense. I'm sure his aneurysm will be blamed on that. All of my high school coaches were really intense back in the 80s, and some of them died unexpectedly. No they didn't.  
But at least the medical system will make a ton of money on his body parts! It's a win win! Just release those damn balloons. That'll make everyone feel better. 🤡🌏  
Sources  
<https://www.fox29.com/news/beloved-sun-valley-high-school-wrestling-coach-dies-suddenly-community-gathers-balloon-release>  
<https://www.facebook.com/tom.ellis.391/>  
[https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https://www.pdsd.org/cms/lib/PA01000989/Centricity/Domain/1639/Staff%2520vaccination%2520letter%25201.pdf&ved=2ahUKEwiGjIH9qImHAxUxAHkGHa6PBVcQFnoECCYQAQ&usg=AOvVaw2zjyByWku4g0--FsxyGHqo](https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https%3A%2F%2Fwww.pdsd.org%2Fcms%2Flib%2FPA01000989%2FCentricity%2FDomain%2F1639%2FStaff+vaccination+letter+1.pdf&ved=2ahUKEwiGjIH9qImHAxUxAHkGHa6PBVcQFnoECCYQAQ&usg=AOvVaw2zjyByWku4g0--FsxyGHqo)  
Check out some cool duds at the store:   
<https://kurganwear.printify.me>  
I'm on Twitter: <https://x.com/kurganreport>  
This video shows you how to run a search on VAERS:   
<https://www.bitchute.com/video/DTWs4oouteSY/>  
Per the CDC the VAERS system represents just a fraction of the overall death and injury events. You should multiply the result by 10 for a more accurate severe event, and by nearly 100 for all events including minor events.   
Source: <https://wonder.cdc.gov/vaers.html>  
More data here (likely more reliable) :  
<https://www.openvaers.com/covid-data/mortality>  
Good general resource:   
<https://www.covid19vaccinefacts.net/VAERS_FAQ.shtml>  
CDC death stats (where they fiddle with the numbers)  
<https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm>


Email me with info or to say hello:  
[TheKurganReport@gmail.com](mailto:TheKurganReport@gmail.com)


Tao te Ching - Chapter 50


The Master gives himself up  
to whatever the moment brings.  
He knows that he is going to die,  
and her has nothing left to hold on to:  
no illusions in his mind,  
no resistances in his body.  
He doesn't think about his actions;  
they flow from the core of his being.  
He holds nothing back from life;  
therefore he is ready for death,  
as a man is ready for sleep  
after a good day's work.


“From the dawn of time we came…moving silently down through the centuries. Living many secret lives, struggling to reach the time of the gathering, when the few who remain will battle to the last. No one has ever known we were among you…..until now.“  
Opening Monologue Highlander (spoken by Sean Connery)


Watch: World Orders Review, Truther's Lair,   
Jim\_Crenshaw, Dollar Vigilante, Dr. Thomas Cowan,  William Cooper - AKA Bill Cooper (YT channel)  
Bill Cooper: <https://beholdamessenger.com/>


""The individual comes face-to-face with a conspiracy so monstrous he cannot believe it exists. The American mind has not come to a realisation of the evil which has been introduced into our midst. It rejects even the assumption that human creatures could espouse a philosophy which must ultimately destroy all that is good and decent.""  
- J. Edgar Hoover - 1956  
<http://www.cdcfoundation.org/>  
<http://www.cdcfoundation.org/partner-list/corporations>  
<http://www.cdcfoundation.org/our-story>  
<https://www.cdcfoundation.org/who/board>  
<https://reaganudall.org/>

","['https://www.fox29.com/news/beloved-sun-valley-high-school-wrestling-coach-dies-suddenly-community-gathers-balloon-release', 'https://www.facebook.com/tom.ellis.391/', 'https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=https%3A%2F%2Fwww.pdsd.org%2Fcms%2Flib%2FPA01000989%2FCentricity%2FDomain%2F1639%2FStaff+vaccination+letter+1.pdf&ved=2ahUKEwiGjIH9qImHAxUxAHkGHa6PBVcQFnoECCYQAQ&usg=AOvVaw2zjyByWku4g0--FsxyGHqo', 'https://kurganwear.printify.me', 'https://x.com/kurganreport', 'https://www.bitchute.com/video/DTWs4oouteSY/', 'https://wonder.cdc.gov/vaers.html', 'https://www.openvaers.com/covid-data/mortality', 'https://www.covid19vaccinefacts.net/VAERS_FAQ.shtml', 'https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm', 'mailto:TheKurganReport@gmail.com', 'https://beholdamessenger.com/', 'http://www.cdcfoundation.org/', 'http://www.cdcfoundation.org/partner-list/corporations', 'http://www.cdcfoundation.org/our-story', 'https://www.cdcfoundation.org/who/board', 'https://reaganudall.org/']",20 hours ago,50,0,4906,20,590,https://api.bitchute.com/video/X4iFPCjMuDJ4
WpNvtejJfIbr,DO YOUR PART IN PRIDE MONTH - HUMOUR,"#gays,#pride,#month",352,0:30,OH MY GOD,httpswwwbitchutecomchannel9a901nw,"BACK IN THE DAYS FAGS WERE NOT TOLERATED NOW THEY GET WORSHIPED AND IF YOU SPEAK AGAINST THEM YOUR DEMONOSED. 

",[],23 hours ago,18,4,2205,23,374,https://api.bitchute.com/video/WpNvtejJfIbr
