id,title,hashtags,view_count,duration,channel,channel_id,description,description_links,created_at,like_count,dislike_count,subscriber_count,hours ago posted,total_interactions,video_url
MQmWArQsCvyp,Adam Carolla Stuffs Gavin Newsom (2013),"#culturalmarxism,#communism,#propaganda",1779,2:16,Sage of Quay®,sageofquay,"Gavin Newsom tried to race-bait on the Adam Carolla show back in 2013 and it spectacularly blew up in Newsom's face. A masterclass in dealing with the left.

",[],8 hours ago,5,0,5368,8,1784,https://api.bitchute.com/video/MQmWArQsCvyp
7ozb4hDfkG8,"THEY HIDE IN THE DARKNESS! - Saturday Live Show! - Ghosts, Creatures, UFOs and MORE!",No Hashtags,1690,1:57:29,Paranormal Portal,paranormal_portal,"Tonight, on the #Paranormal Portal, we are diving into the Saturday Show. Join us and we'll take you on a safari of the mind into the depths of the Paranormal Portal. Enter the Paranormal Portal...if you dare! #ghost #scary


To join the Paranormal Portal Discord Server, go to: <https://discord.gg/paranormalportal>


Visit our Homepage: <https://paranormalportal.net>


Have an encounter of your own? Email us at [paranormalportalradio@gmail.com](mailto:paranormalportalradio@gmail.com) 


Show your paranormal pride! Get your portal gear TODAY!!! Head over to: <https://teespring.com/stores/paranormal-portal> 


Like the music on the Paranormal Portal? Download your copy today! <https://brentthomas.bandcamp.com/releases>


\*\*All Songs are the sole property of Brent Thomas, Copyright 2018\*\*


\*\*Views and opinions of guests and callers to the show do not necessarily reflect the views of the Paranormal Portal or it's hosts. The Paranormal Portal is simply a forum to discuss all things paranormal\*\*


\*\*If you want to help keep the Paranormal Portal going, please donate at PayPal.me/paranormalportal

","['https://discord.gg/paranormalportal', 'https://paranormalportal.net', 'mailto:paranormalportalradio@gmail.com', 'https://teespring.com/stores/paranormal-portal', 'https://brentthomas.bandcamp.com/releases']",18 hours ago,9,7,383,18,1706,https://api.bitchute.com/video/7ozb4hDfkG8
xYjBzj1wMHg,Spot on...LMAO,No Hashtags,1136,0:33,Memology 101,memology_101,"Trends: #shorts #news

",[],14 hours ago,60,2,16722,14,1198,https://api.bitchute.com/video/xYjBzj1wMHg
R9OUdCVw9k8Y,Owen Benjamin | #1984 The State Of Comedy,No Hashtags,941,1:49:16,Owen Benjamin,owenbenjamin,"<https://entropystream.live/app/OwenBenjaminComedy>


<https://unauthorized.tv/>


<https://twitter.com/owenbenjamin>


<https://rumble.com/user/owenbenjamin>


<https://rokfin.com/owenbenjamin>


<https://vk.com/owenbenjamincomedy>


<https://odysee.com/@OwenBenjamin:6>


<https://dlive.tv/owenbenjamincomedy>


<https://owensmithpiano.bandcamp.com/album/ballads-in-the-barn>


<https://soundcloud.com/owensmithpiano>


Telegram Links:  
Live Private Chat -  
<https://t.me/speakeasysaloon>


Main Channel:  
<https://t.me/owenbenjamincomedy>


Video Uploads:  
<https://t.me/DLiveBearStream>


Audio Uploads  
<https://t.me/WDTLPodcast>


Bonus Audio Uploads  
<https://t.me/WDTLBonus>


Comedy Channel:  
<https://t.me/owenbenjamincomedian>


<https://app.beartariatimes.com/>


<https://beartariacampgrounds.com/>


<https://beartariatimes.com/>


<https://merch4bears.com/>


<https://owenbenjamin.com/>

","['https://entropystream.live/app/OwenBenjaminComedy', 'https://unauthorized.tv/', 'https://twitter.com/owenbenjamin', 'https://rumble.com/user/owenbenjamin', 'https://rokfin.com/owenbenjamin', 'https://vk.com/owenbenjamincomedy', 'https://odysee.com/@OwenBenjamin:6', 'https://dlive.tv/owenbenjamincomedy', 'https://owensmithpiano.bandcamp.com/album/ballads-in-the-barn', 'https://soundcloud.com/owensmithpiano', 'https://t.me/speakeasysaloon', 'https://t.me/owenbenjamincomedy', 'https://t.me/DLiveBearStream', 'https://t.me/WDTLPodcast', 'https://t.me/WDTLBonus', 'https://t.me/owenbenjamincomedian', 'https://app.beartariatimes.com/', 'https://beartariacampgrounds.com/', 'https://beartariatimes.com/', 'https://merch4bears.com/', 'https://owenbenjamin.com/']",23 hours ago,44,19,38608,23,1004,https://api.bitchute.com/video/R9OUdCVw9k8Y
TeGKzV1H4Vo,Zastava ZPAPM70UF the best underfolder?,No Hashtags,908,1:00,MilitaryArms,militaryarms,"The Zastava npapm70uf is one of the best AKMs on the market.

",[],22 hours ago,20,0,8756,22,928,https://api.bitchute.com/video/TeGKzV1H4Vo
bJmIlCubUSI,Nuke It From Orbit.,No Hashtags,392,0:44,Redonkulas,redonkulas,"To donate to this content, see our list of channels, purchase merchandise or join Popp’s Preppers, click here: <https://linktr.ee/redonkulas>


Send physical donations to:  
[Redonkulas.com](http://Redonkulas.com) Productions  
29488 Woodward Avenue, Unit 407  
Royal Oak, MI 48073  
If you write a check, make it out to Second Class Citizen, 501c3  
All donations are tax deductible


And be sure to tune in to see the Redonkulas Regiment Live!  
Tuesdays - Thursdays at 8pm Eastern  
And  
Supporter Sunday streams for Locals, GiveSendBro, and SubscribeStar members only!


All sources available on [Redonkulas.com](http://Redonkulas.com)!

","['https://linktr.ee/redonkulas', 'http://Redonkulas.com', 'http://Redonkulas.com']",9 hours ago,13,2,19840,9,407,https://api.bitchute.com/video/bJmIlCubUSI
oLBtVUJBoFYI,He found out.,"#police,#diversity,#shooting",377,0:15,Jjack,jjack,No Description,[],20 hours ago,12,1,4176,20,390,https://api.bitchute.com/video/oLBtVUJBoFYI
zNRd_g2GYHA,The Acolyte Ep 6 : 50 Shades of Jedi,No Hashtags,366,9:05,Geeks + Gamers,geeksandgamers,"🔴 <https://www.metapcs.com/geeksandgamers/ref/geeks/> USE CODE ""GEEKS"" FOR A DISCOUNT


🔔 BECOME A GEEKS + GAMERS PREMIUM MEMBER HERE:  
<https://www.geeksandgamers.com/premium/>


🔴 Become a Geeks + Gamers YOUTUBE MEMBER Here: <https://www.youtube.com/channel/UCMvVQIAfsGwzrfPLxiaIG8g/join>


⚫ Locals: <https://geeksandgamers.locals.com>  
⚫️ Rumble: <https://rumble.com/c/GeeksandGamers>  
⚫️ Twitch: <https://www.twitch.tv/geeks_and_gamers>  
⚫️ Discord: <https://discord.com/invite/r3tDNCx>  
⚫️ Instagram: <https://www.instagram.com/geeksgamerscom/?hl=en>  
⚫️ Twitter: <https://twitter.com/GeeksGamersCom>  
⚫️ Merch: <https://www.221btactical.com/collections/geeks-gamers>  
⚫ TikTok: <https://www.tiktok.com/@geeksgamerscom?_t=8gZVmZhMvba&_r=1>  
🟢 Website: <https://www.geeksandgamers.com/registration/>


SUBSCRIBE TO OUR OTHER CHANNELS


🔵 Sports Wars: <https://www.youtube.com/channel/UCGcW1IvvBzwUgOPNQsbUSSQ>  
🔵 Park Hoppin: <https://www.youtube.com/channel/UCPpTgs3RhBm0t_A0wm3fFUw>  
🔵 Geeks + Gamers Play: <https://www.youtube.com/channel/UCsXv5AagFpkiS-W0m_5rxjQ>  
🔵 Geeks + Gamers Tabletop: <https://www.youtube.com/channel/UCYarT8tHAa9mYNrabtiNhJA/featured>  
🔵 Pour Choices: <https://www.youtube.com/channel/UCRUIO4v8SID4SmAHhRErUNg>  
🔵 Geeks + Gamers Live: <https://www.youtube.com/channel/UCb5Ts5Ex0asqNY477_onHBA>  
🔵 Geeks + Gamers Clips: <https://www.youtube.com/channel/UCb1NNChFLTpA48CP2BTBEbw>


📦✉️  
P.O BOX 10057 :  
Jeremy Prime  
Pensacola  
Florida, USA  
32524


Check out the Geeks + Gamers video game FACT BLAST!  
<https://t-rev.itch.io/factblast>

","['https://www.metapcs.com/geeksandgamers/ref/geeks/', 'https://www.geeksandgamers.com/premium/', 'https://www.youtube.com/channel/UCMvVQIAfsGwzrfPLxiaIG8g/join', 'https://geeksandgamers.locals.com', 'https://rumble.com/c/GeeksandGamers', 'https://www.twitch.tv/geeks_and_gamers', 'https://discord.com/invite/r3tDNCx', 'https://www.instagram.com/geeksgamerscom/?hl=en', 'https://twitter.com/GeeksGamersCom', 'https://www.221btactical.com/collections/geeks-gamers', 'https://www.tiktok.com/@geeksgamerscom?_t=8gZVmZhMvba&_r=1', 'https://www.geeksandgamers.com/registration/', 'https://www.youtube.com/channel/UCGcW1IvvBzwUgOPNQsbUSSQ', 'https://www.youtube.com/channel/UCPpTgs3RhBm0t_A0wm3fFUw', 'https://www.youtube.com/channel/UCsXv5AagFpkiS-W0m_5rxjQ', 'https://www.youtube.com/channel/UCYarT8tHAa9mYNrabtiNhJA/featured', 'https://www.youtube.com/channel/UCRUIO4v8SID4SmAHhRErUNg', 'https://www.youtube.com/channel/UCb5Ts5Ex0asqNY477_onHBA', 'https://www.youtube.com/channel/UCb1NNChFLTpA48CP2BTBEbw', 'https://t-rev.itch.io/factblast']",14 hours ago,17,1,14611,14,384,https://api.bitchute.com/video/zNRd_g2GYHA
uENpJec04QnS,USA Becomes Cesspool Police Protect Public Perversion Instead Of Children In Modern Sodom Gomorrah,"#victorhugo,#biden,#trump",361,15:23,Victor Hugo Maverick Artist,victor-hugo-maverick-artist,"San Francisco symbolizes everything wrong with USA.  
Please purchase products from this link to support this podcast: <https://ftwproject.com/ref/476/> Thanks.  
To purchase The Victor-Hugo Collection contact The William DeBilzan Gallery William DeBilzan Art Gallery Delray Beach Florida 561-266 2090 [wdebilzan@gmail.com](mailto:wdebilzan@gmail.com)  
“My job is not to be politically correct; It is to witness, observe, analyze and document the beautiful chaos that surrounds us all, so that future generations can understand how we got to this moment in time.” - Victor-Hugo Vaca II  
""I'm known as the 'Nostradamus of the Art World' because my paintings foreshadow events but It's not that I can see the future, it's that as an artist, I've met the people who forge our future."" - Victor-Hugo Vaca II  
Public Trust Plummets As Fake News Media Spreads Misinformation and Lies While Ignoring Prescient Eyewitness Observations from New York Born Hispanic-American Artist Who Lived Through The Chinese Coronavirus Pandemic Outbreak In China. Now, stuck in the former Soviet Union as a dissident American Refugee due to the Chinese Coronavirus shutting down all international flights and forced PCR Test lobotomies and deadly, experimental vaccines required to travel back to the homeland he served to protect as a United States Naval Academy Midshipman Officer, the Nostradamus of the Art World, Maverick Artist Victor-Hugo, shares modern art gonzo journalism with global citizens.

","['https://ftwproject.com/ref/476/', 'mailto:wdebilzan@gmail.com']",20 hours ago,15,4,4446,20,380,https://api.bitchute.com/video/uENpJec04QnS
mnpQqpwuyeiF,PUNISHMENT - DIGITAL WAR - Q ANON - JFK JR - GHOST ARMY -WWG1WGA,"#war,#q-anon,#jfkjr",347,3:43,Vincent Fusco Q,vincentfusco,"PUNISHMENT - DIGITAL WAR - Q ANON - JFK JR - GHOST ARMY -WWG1WGA  
#NIGHTSHIFT #DIGITALSOLDIERS #PSYWAR <https://old.bitchute.com/video/46RdAJfg9KTI/>  
[https://old.bitchute.com/search/?query=fusco%20ghosts&kind=video&sort=new](https://old.bitchute.com/search/?query=fusco+ghosts&kind=video&sort=new)  
[https://old.bitchute.com/search/?query=fusco%20ghost&kind=video&sort=new](https://old.bitchute.com/search/?query=fusco+ghost&kind=video&sort=new)  
4TH PSYOP GROUP - GHOSTS IN THE MACHINE 1 <https://www.bitchute.com/video/gKKPhCyCp90P/>  
4TH PSYOP GROUP - GHOSTS IN THE MACHINE 2 <https://www.bitchute.com/video/qcmDY39j9471/>  
4TH PSYOP GROUP - RESISTANCE. <https://www.bitchute.com/video/dzylIdGazcDq/>  
4TH PSYOP GROUP -CONDITIONING. <https://www.bitchute.com/video/ztKwrwGRsQUI/>  
4TH PSYOP GROUP - TIME. <https://www.bitchute.com/video/nPqTBHcXgJIa/>  
4th PSYOP Group - BELIEF. <https://www.bitchute.com/video/YamW6x0XTx4y/>  
📼4TH PSYOP GROUP🎶AWOLNATION - Run SCOTTY FILMS MUSIC  
[WWW.bitchute.com/video/UxtBRpsKNqlo/](http://WWW.bitchute.com/video/UxtBRpsKNqlo/)  
THOSE YOU THINK DEAD ARE ALIVE and THOSE YOU THINK ARE ALIVE ARE DEAD  
<https://www.bitchute.com/video/48Cfd7cnn0KL/>  
LQQK WHQ YQU THOUGHT DIED JFK JR COBAIN JAMESDEAN ELVIS MONROE MJ BRUCE LEE WHITNEY SELENA BOBMARLEY <https://www.bitchute.com/video/s6mQNqak4yjc/>  
TRUMP RALLY LIVE ON STAGE BACKGROUND 2PAC COBAIN ALICEINCHAINS ELVIS JFK JR CAROLYN BOB MARLEY DIANA <https://www.bitchute.com/video/TVd1h7jISupR/>  
JFK JR NEVER LEFT, HE HAS BEEN HERE THE ENTIRE TIME <https://www.bitchute.com/video/OME8tJejaCOo/>


🛸 SAUCER 🛸 UFO CAUGHT ON TAPE WEIRD UAP CREEPY ALIENS SIGHTINGS UNEXPLAINED PARANORMAL 🛸  
<https://www.bitchute.com/video/Nga70tLYGUSB/>


MARCH 4 2022 MOON CRASH - <https://www.bitchute.com/video/lTGTjjqiVRjk>


SEEING TWO MOONS IN THE SKY TONIGHT 2024 <https://www.bitchute.com/video/E0jIU66xo4eb/>


🛸 UFO UAP SAUCER 🛸 SPOTTED BY SEVERAL ONLOOKERS ON HIGHWAY 🛸 <https://www.bitchute.com/video/QiXxMPcauNKS/>


200 SCIENCE BASED PROOFS THE EARTH IS FLAT (ERIC DUBAY) <https://www.bitchute.com/video/mle3cEgYdmuu/>


FAFO ⏏ [bitchute.com/video/mC2xCeXrr3nS/](http://bitchute.com/video/mC2xCeXrr3nS/)  
<https://www.bitchute.com/video/DKUgyHUf0C62/> ⚠️ – comment SECTION REJECT FAGGOT GIVING STAND UP COMEDY A TRY, DIDNT GO WELL ⏏ <https://www.bitchute.com/video/iEQjuct7iTEz/>


📼🎶 Bee Gees - Stayin' Alive SCOTTY FILMS 📼 MUSIC 🎶 TRUMP 🎶📼 <https://www.bitchute.com/video/YL00Ubqkl>


📼🎶 Ace - How Long SCOTTY FILMS 📼 MUSIC 🎶 TRUMP 🎶 <https://www.bitchute.com/video/2uBisLkOevpr/>


Kids See Ghosts Sometimes-🥊 BOXING 🥊 Devin Haney being rocked by Ryan Garcia 🥊 <https://www.bitchute.com/video/eo1e7pf3dIOc/>


Jesus Christ is my niqqa <https://www.bitchute.com/video/czFKZbWsFdNq/>


🌪🌪Crazy footage from historic tornado 🌪 outbreak! Most intense chase of my life 👀🌪👀🌪 <https://www.bitchute.com/video/5Uio2zo0IPlD/>


hologram technology now being applied to hotel floors <https://www.bitchute.com/video/shUuLpf79XoO/>


holographic fake whales Dubai <https://www.bitchute.com/video/paZwxqKjWtCO/>


🌪 DRAMATIC VIDEO of a tractor trailer rig falling out of the Marietta, OK tornado <https://www.bitchute.com/video/ISTnCGDyDzPm/> 🌪


😵 🏆 Darwin Award news The winner from Chicago 😵 🏆  
[WWW..bitchute.com/video/r85jcrOGGTuj/](http://WWW..bitchute.com/video/r85jcrOGGTuj/)


SCOTTY FILMS - MIX TAPE-SO VAIN; BORN FOR THIS; CAN'T TOUCH THIS; 7 NATION AMRY; ROOF IS ON FIRE; C  
[WWW.bitchute.com/video/wRY72b841TRn/](http://WWW.bitchute.com/video/wRY72b841TRn/)


AWOLNATION - Run SCOTTY FILMS MUSIC TRUMP  
[WWW.bitchute.com/video/UxtBRpsKNqlo/](http://WWW.bitchute.com/video/UxtBRpsKNqlo/)


Happening now! Biden’s Border crisis in San Diego, California.  
[WWW.bitchute.com/video/eqkgPmW36AgE/](http://WWW.bitchute.com/video/eqkgPmW36AgE/)


Comet 12PPons Brooks - devil´s face  
[WWW.bitchute.com/video/1jCmRIMZN9qM/](http://WWW.bitchute.com/video/1jCmRIMZN9qM/)


🔥🔥🔥🔥Watch It Burn🔥🔥🔥🔥 ⚔️ @NCSVVIC  
[WWW.bitchute.com/video/NZfBhwsMJbgg/](http://WWW.bitchute.com/video/NZfBhwsMJbgg/)


Q4961 TAKING CONTROL.  
[WWW.bitchute.com/video/zDbAzs76YnXJ/](http://WWW.bitchute.com/video/zDbAzs76YnXJ/)


Eagle Pass: alligator while fishing this morning at the Rio Grande. <https://www.bitchute.com/video/K2FYhxALQfzA/>


🎶✨✨ BETTER THAN EZRA - At the Stars ✨✨ MUSIC 🎶 <https://www.bitchute.com/video/PCJzmlYdo1bv/>


🎶 Better Than Ezra - In The Blood #EZRA MUSIC (Video)🎶 <https://www.bitchute.com/video/jhzSDfMqDGyK/>


SKY ANOMALY STRANGE COLORFUL STREAK ACROSS SOUTHERN SKY, USA - [04-27-2024] <https://www.bitchute.com/video/HGtgUpTRWt5w/>


JFK and JFK Junior are alive - <https://www.bitchute.com/video/LLf7HmhUZEV6/>


👊💥 2 punches, 2 knockouts 👊💥 FAFO ZZZ 😴 <https://www.bitchute.com/video/yP2q25yUUNZU/>


BIG guy keels over after one hit - COMMENT SECTION WHORE SAYS GOODNIGHT ⏏  
<https://www.bitchute.com/video/iAmYFfVXD8v7/>


⏏ FAFO-Drunk at a bar in Austin TX tries to sucker punch someone and it does not go well for him ⏏ <https://www.bitchute.com/video/xWE7tYAmHdd6/>


FAFO - <https://www.bitchute.com/video/vBvEdnX2tPWz/>


COMMENT SECTION MONGREL LOOKING 4LOVE IN THE WRONG COMMENT SECTION🥊 <https://www.bitchute.com/video/8psaicQ6JgDl/>


☁🛸☁ ""PLANES"" DID THIS -UFO SAUCER 🛸 CLOUD ☁ AUSTRALIA ☁🛸☁  
<https://www.bitchute.com/video/z89Zlq5P9rpX>

","['https://old.bitchute.com/video/46RdAJfg9KTI/', 'https://old.bitchute.com/search/?query=fusco+ghosts&kind=video&sort=new', 'https://old.bitchute.com/search/?query=fusco+ghost&kind=video&sort=new', 'https://www.bitchute.com/video/gKKPhCyCp90P/', 'https://www.bitchute.com/video/qcmDY39j9471/', 'https://www.bitchute.com/video/dzylIdGazcDq/', 'https://www.bitchute.com/video/ztKwrwGRsQUI/', 'https://www.bitchute.com/video/nPqTBHcXgJIa/', 'https://www.bitchute.com/video/YamW6x0XTx4y/', 'http://WWW.bitchute.com/video/UxtBRpsKNqlo/', 'https://www.bitchute.com/video/48Cfd7cnn0KL/', 'https://www.bitchute.com/video/s6mQNqak4yjc/', 'https://www.bitchute.com/video/TVd1h7jISupR/', 'https://www.bitchute.com/video/OME8tJejaCOo/', 'https://www.bitchute.com/video/Nga70tLYGUSB/', 'https://www.bitchute.com/video/lTGTjjqiVRjk', 'https://www.bitchute.com/video/E0jIU66xo4eb/', 'https://www.bitchute.com/video/QiXxMPcauNKS/', 'https://www.bitchute.com/video/mle3cEgYdmuu/', 'http://bitchute.com/video/mC2xCeXrr3nS/', 'https://www.bitchute.com/video/DKUgyHUf0C62/', 'https://www.bitchute.com/video/iEQjuct7iTEz/', 'https://www.bitchute.com/video/YL00Ubqkl', 'https://www.bitchute.com/video/2uBisLkOevpr/', 'https://www.bitchute.com/video/eo1e7pf3dIOc/', 'https://www.bitchute.com/video/czFKZbWsFdNq/', 'https://www.bitchute.com/video/5Uio2zo0IPlD/', 'https://www.bitchute.com/video/shUuLpf79XoO/', 'https://www.bitchute.com/video/paZwxqKjWtCO/', 'https://www.bitchute.com/video/ISTnCGDyDzPm/', 'http://WWW..bitchute.com/video/r85jcrOGGTuj/', 'http://WWW.bitchute.com/video/wRY72b841TRn/', 'http://WWW.bitchute.com/video/UxtBRpsKNqlo/', 'http://WWW.bitchute.com/video/eqkgPmW36AgE/', 'http://WWW.bitchute.com/video/1jCmRIMZN9qM/', 'http://WWW.bitchute.com/video/NZfBhwsMJbgg/', 'http://WWW.bitchute.com/video/zDbAzs76YnXJ/', 'https://www.bitchute.com/video/K2FYhxALQfzA/', 'https://www.bitchute.com/video/PCJzmlYdo1bv/', 'https://www.bitchute.com/video/jhzSDfMqDGyK/', 'https://www.bitchute.com/video/HGtgUpTRWt5w/', 'https://www.bitchute.com/video/LLf7HmhUZEV6/', 'https://www.bitchute.com/video/yP2q25yUUNZU/', 'https://www.bitchute.com/video/iAmYFfVXD8v7/', 'https://www.bitchute.com/video/xWE7tYAmHdd6/', 'https://www.bitchute.com/video/vBvEdnX2tPWz/', 'https://www.bitchute.com/video/8psaicQ6JgDl/', 'https://www.bitchute.com/video/z89Zlq5P9rpX']",19 hours ago,15,0,3942,19,362,https://api.bitchute.com/video/mnpQqpwuyeiF
