id,title,hashtags,view_count,duration,channel,channel_id,description,description_links,created_at,like_count,dislike_count,subscriber_count,hours ago posted,total_interactions,video_url
czSaoV7wXL4K,2 TV STARS & DAUGHTER DESTROYED BY VAX POISON INJECTIONS,"#jamie,#lynn,#Sigler",1459,2:06,bootcamp,bootcamp,"JAMIE-LYNN SIGLER, CHRISTINA APPLEGATE AND SADIE APPLEGATE.

",[],16 hours ago,53,0,4699,16,1512,https://api.bitchute.com/video/czSaoV7wXL4K
fPGBbRU5GvhS,🌶 vs 🐛 PARASITES HATE CAYENNE,"#parasites,#health,#cayenne",397,0:45,TrustChristORGoToHell,trustchristorgotohell,"<https://gab.com/Pig_Farmer/posts/112718211454377352>

",['https://gab.com/Pig_Farmer/posts/112718211454377352'],22 hours ago,23,1,7815,22,421,https://api.bitchute.com/video/fPGBbRU5GvhS
tNdFXxkVSnZU,"HRR-BATTLE PLANS REVEALED: When Trump wins, here's what America-hating Left plans...JGANON, SGANON","#whoisjohngalt,#juanosavin,#SGAnon",385,53:40,Team Global,whoisjohngalt22,"DISCOVER THE SCIENCE BEHIND THE MIRACLE VACCINE ANTIDOTE  
[www.therootbrands.com/whoisjohngalt22](http://www.therootbrands.com/whoisjohngalt22)  
[WWW.JOINTEAMGLOBAL.COM](http://WWW.JOINTEAMGLOBAL.COM)  
[www.jasemedical.com/teamglobal](http://www.jasemedical.com/teamglobal) USE PROMO CODE ""TEAMGLOBAL10 @ CHECKOUT  
C60 Evo & THE WELLNESS COMPANY 10% DISCOUNT LINKS  
<https://www.c60evo.com/TEAMGLOBAL>  
<https://www.twc.health/teamglobal>  
Use coupon code ""TEAMGLOBAL"" for 10% discount  
JOIN THE REAL WORLD NOW  
<https://jointherealworld.com/a/cgrgfq6bhl>  
LEARN MORE ABOUT THE REAL WORLD  
<https://jointherealworld.com/?a=cgrgfq6bhl>  
EMP SHIELD PRODUCTS: DISCOUNT appears at CHECKOUT with the following link: <https://www.empshield.com/?coupon=teamglobal>

","['http://www.therootbrands.com/whoisjohngalt22', 'http://WWW.JOINTEAMGLOBAL.COM', 'http://www.jasemedical.com/teamglobal', 'https://www.c60evo.com/TEAMGLOBAL', 'https://www.twc.health/teamglobal', 'https://jointherealworld.com/a/cgrgfq6bhl', 'https://jointherealworld.com/?a=cgrgfq6bhl', 'https://www.empshield.com/?coupon=teamglobal']",18 hours ago,4,3,6693,18,392,https://api.bitchute.com/video/tNdFXxkVSnZU
jZNWW2kKYEte,🥊 BOXER KOed BY THE VACCINE (NO PUNCH LANDED),"#boxer,#KOed,#vaccine",294,0:32,Vincent Fusco Q,vincentfusco,"🥊 BOXER KOed BY THE VACCINE (NO PUNCH LANDED)

",[],20 hours ago,7,1,3942,20,302,https://api.bitchute.com/video/jZNWW2kKYEte
nVc9XHmiphkm,"Siri Testifies, Part 2, TOMORROW on The HighWire | July 4th, 2024",No Hashtags,243,1:18,The Highwire with Del Bigtree,the-highwire-with-del-bigtree,"Watch at [TheHighWire.com/WATCH](http://TheHighWire.com/WATCH)  
Every Thursday, 11am PT (2pm ET)


#AaronSiri #ICANLegal #CongressionalTestimony #VaccineSchedule #COVIDVax #VaccineScience #VaccineLaw #DelBigtree #Ep379 #SiriTestifies #Part2

",['http://TheHighWire.com/WATCH'],5 hours ago,11,4,53395,5,258,https://api.bitchute.com/video/nVc9XHmiphkm
wssrbDvjXV2V,ATTEN DOCTORS : TREAT ALL FLU as Microwave Radiation Poisoning,"#news,#health,#radiation",140,3:08,MaxRandom,maxrandom," Huff’s background prepared him for his role today as one of the prime Covid 19 whistle blowers. As a US Army infantry combat veteran, he was sensitive to foolish decisions and reckless policies that risk getting people killed. Andrew Huff saw unsafe situations while at EcoHealth Alliance which could have led to catastrophe with regard to infectious disease outbreak. 


Huff is also quick to assert, without hesitation nor any doubt whatsoever speaking as a PhD in the area of Emerging Infectious Diseases that the repeated narrative concerning the Covid 19 Pandemic beginning supposedly at a Wuhan, China wet market is false.  
Andrew Huff submitted a letter to Senator Roger Wicker (R-Mississippi) the ranking Republican member of the Senate Whistle blower Committee, dated Feb. 8th, 2022 in which he makes several bombshell charges concerning not only unethical practices that he saw at EcoHealth Alliance regarding timecard and reimbursement fraud against the U.S. government but that EcoHealth Alliance President Peter Daszak was working with the CIA and that the executive team of the NGO spoke about its gain of function work that Andrew Huff opposed because it amounted to basically training the CCP in bioweapons and intellectual property theft.


Not anticipating the Covid 19 outbreak and its connection to the Wuhan Institute of Virology also constituted a huge US intelligence failure. Andrew Huff issued this broadside against the US intelligence community:


“And then the other cast of characters that are coming out slowly over time, it really looks like the intelligence community, it had their they had their sights on this laboratory. And then there’s even State Department cables that came out that say, from the the consulate in Wuhan, that they’re, they’re concerned about the laboratory safety conditions at this laboratory. So the State Department does a lot of intelligence collection, so you start to look at the small, different angles. How do they miss it? You know, that’s the question.


Col. Andrew Huff 


Source: SixthSense  
<https://www.bitchute.com/video/nYNfdQU1o8XQ/>


Pentagon developing a radiation sickness antidote (March 2011).  
Colonel Andrew Huff- Armed Forces radiobiology research institute  
COVID-19 is a respiratory illness  
The symptoms of acute radiation sickness would be exactly like a terrible flu, headache, very tired, fever, maybe some vomiting.  
Cardiovascular system and Central Nervous System (CNS) swell with fluid from cell damage.


What is the relationship between pneumonia and COVID-19?  
<https://www.medicalnewstoday.com/articles/pneumonia-and-covid-19>


Coronavirus and Pneumonia  
<https://www.webmd.com/covid/covid-and-pneumonia>


[buildingbiologyinstitute.org](http://buildingbiologyinstitute.org) for how to protect home & neighborhood from   
government SIGNALS over property.  


","['https://www.bitchute.com/video/nYNfdQU1o8XQ/', 'https://www.medicalnewstoday.com/articles/pneumonia-and-covid-19', 'https://www.webmd.com/covid/covid-and-pneumonia', 'http://buildingbiologyinstitute.org']",17 hours ago,1,0,527,17,141,https://api.bitchute.com/video/wssrbDvjXV2V
D8VXd98E2Ee1,07-02-24 Morning Coffee with Dr. Lisa Palmer,No Hashtags,132,1:16:13,DrTenpenny,drtenpenny,"Get ready for a information filled episode as we welcome the incredible Dr. Lisa Palmer, the owner of the globe’s largest holistic nutrition practice. Dr. Palmer has revolutionized natural healing with her development of Quantum Nutrition Testing (QNT) amidst the pandemic. This groundbreaking method combines whole food supplements, herbs, homeopathy, and carbon technology to harmonize and heal the body naturally. This special episode will shine a spotlight on hormones, with Dr. Palmer sharing her deep insights on the topic. For all the women curious about navigating the challenges of menopause and perimenopause, this may be the conversation you’ve been waiting for. Don’t miss this chance to gain knowledge and support in your journey. Join us and transform your understanding of natural healing.


Watch past episodes at [DrTenpenny.com](http://DrTenpenny.com)


Become a podcast member to access exclusive and censored content here: <https://drtenpenny.com/membership/>


Sign up for Morning Coffee with Dr. T – My Tuesday Morning Live Q&A with You: bit.ly/drtchat


Connect with me on social media:  
Twitter — <https://twitter.com/busydrt>  
Instagram — <https://www.instagram.com/busydrt>  
Truth Social — <https://truthsocial.com/@busydrt>


Follow along on your favorite social platform:  
CloutHub — This Week with Dr. T — <https://clouthub.com/c/thisweekwithdrt>  
CloutHub — Happy Hour with Dr. T — <https://clouthub.com/c/happyhourwithdrt>  
Rumble — <https://rumble.com/c/c-593647>  
Bitchute — <https://www.bitchute.com/channel/QN8kAob1zRJ7/>


Learn about ECP Therapy:  
ECP Studio, California — <https://ecpstudio.com>  
Tenpenny Health Restoration Center — <https://tenpennyecp.com>


Subscribe to my Substack:  
Eye on the Evidence — <https://drtenpenny.substack.com/>  
Walking with God — <https://tenpennywalkwithgod.substack.com/>


This episode is brought to you in part by the following:  
Dr. T's #1 Heavy Metal and Toxin Detox — <https://drtdetox.com>  
MyPillow — <https://mypillow.com/> — use code DRT for up to over 60%OFF  
Cardiomiracle — <https://cardiomiracle.com> — 15% off with code DRT  
Adaptobliss — Fungi Java Mushroom Coffee — <https://adaptobliss.com/> - use code DRT for 10% off  
EMF Protection — [emfsol.com](http://emfsol.com) — code DRT for 10% off

","['http://DrTenpenny.com', 'https://drtenpenny.com/membership/', 'https://twitter.com/busydrt', 'https://www.instagram.com/busydrt', 'https://truthsocial.com/@busydrt', 'https://clouthub.com/c/thisweekwithdrt', 'https://clouthub.com/c/happyhourwithdrt', 'https://rumble.com/c/c-593647', 'https://www.bitchute.com/channel/QN8kAob1zRJ7/', 'https://ecpstudio.com', 'https://tenpennyecp.com', 'https://drtenpenny.substack.com/', 'https://tenpennywalkwithgod.substack.com/', 'https://drtdetox.com', 'https://mypillow.com/', 'https://cardiomiracle.com', 'https://adaptobliss.com/', 'http://emfsol.com']",22 hours ago,1,1,5082,22,134,https://api.bitchute.com/video/D8VXd98E2Ee1
EzDq1bmGePCN,Video Evidence That Their Aim Is Depopulation,"#gates,#depopulation,#johnolooney",127,49:47,Curious Magpie,curiousmagpie,"If the world wasn't meant to increase population then it wouldn't be able to - naturally

",[],18 hours ago,5,0,324,18,132,https://api.bitchute.com/video/EzDq1bmGePCN
DzCjr7ZZabV9,BOMBSHELL: FDA Document States That Masks CANNOT be Promoted as Safe or Effective,"#masks,#covid,#pandemic",119,1:10,The Big Logic,thebiglogic,"Source: The Highwire  
<https://www.TheHighwire.com>  
Full video: <https://thehighwire.com/ark-videos/let-freedom-sing/>


Read Our Articles:  
Reasonable Questions Regarding COVID-19  
<https://www.thebiglogic.com/reasonable-questions-regarding-covid-19>  
The Corporate Capture of Public Health  
<https://www.thebiglogic.com/the-corporate-capture-of-public-health>  
Vaccine Injury Cover-up Evidence (VICE)  
<https://www.thebiglogic.com/vice>


Website: <https://www.TheBigLogic.com>  
Brighteon: <https://www.brighteon.com/channels/TheBigLogic>  
BitChute: <https://www.bitchute.com/TheBigLogic>  
Rumble: <https://www.rumble.com/TheBigLogic>  
YouTube: <https://www.youtube.com/@TheBigLogic>  
Instagram: <https://www.instagram.com/TheBigLogic>  
Twitter: <https://twitter.com/TheBigLogic>  
Facebook: <https://www.facebook.com/TheBigLogic>  
Please check our website for our fair use, copyright and medical disclaimers.

","['https://www.TheHighwire.com', 'https://thehighwire.com/ark-videos/let-freedom-sing/', 'https://www.thebiglogic.com/reasonable-questions-regarding-covid-19', 'https://www.thebiglogic.com/the-corporate-capture-of-public-health', 'https://www.thebiglogic.com/vice', 'https://www.TheBigLogic.com', 'https://www.brighteon.com/channels/TheBigLogic', 'https://www.bitchute.com/TheBigLogic', 'https://www.rumble.com/TheBigLogic', 'https://www.youtube.com/@TheBigLogic', 'https://www.instagram.com/TheBigLogic', 'https://twitter.com/TheBigLogic', 'https://www.facebook.com/TheBigLogic']",7 hours ago,3,1,1048,7,123,https://api.bitchute.com/video/DzCjr7ZZabV9
GpmkF6S3TPRo,THEY'RE POISOING YOU EVERY DAY!,"#fluoride,#glyphosate,#natural",106,0:47,The MealBetix Lifestyle,mealbetix,"FIGHT BACK! <https://MealBetix.com>


#poison #fluoride #pesticides #glyphosate

",['https://MealBetix.com'],22 hours ago,3,0,209,22,109,https://api.bitchute.com/video/GpmkF6S3TPRo
