id,title,hashtags,view_count,duration,channel,channel_id,description,description_links,created_at,like_count,dislike_count,subscriber_count,hours ago posted,total_interactions,video_url
gWt8Vjotb9Zo,If You Were Under Attack Would You Know it?,"#war,#israel,#nwo",10000,2:10:06,TheCrowhouse,thecrowhouse,"<https://thecrowhouse.com>  
BitChute <https://www.bitchute.com/channel/TheCrowhouse/>  
Odysee: <https://odysee.com/@thecrowhouse:2>  
Rumble: <https://rumble.com/c/c-4683704>  
VigilanteTV: <https://vigilante.tv/c/the_crowhouse/>  
FreedomTube <https://tube.freedom.buzz/channel/thecrowhouse>  
CloutHub: <https://clouthub.com/c/thecrowhouse>  
3Speak: <https://3speak.tv/user/maxigan>  
Bastyon: <https://bastyon.com/maxigan>  
Twitter: <https://twitter.com/thecrowhouse>  
Instagram: <https://www.instagram.com/max_igan/>  
TikTok: <https://www.tiktok.com/@thecrowhouse1>  
Mixcloud: <https://www.mixcloud.com/discover/the-crowhouse/>  
Telegram: <https://t.me/thecrowhouseoffical>  
Gab: <https://gab.com/MaxIgan>  
Gettr: <https://www.gettr.com/user/thecrowhouse>  
Minds: <https://www.minds.com/maxiganscrowhouse/>  
MeWe: <https://mewe.com/group/5aa84d353016dd184af55702>  
TheCrowhouse Banned YouTube Archive on AltCensored:  
<https://www.altcensored.com/channel/UCegOTmclzjfKuQh0SHflqww>


Audio Only: <https://audio.com/the-crowhouse>


The Crowhouse Community Forums:  
<https://thecrowhouse.community/>


Donations to the TheCrowhouse can be received via Stripe or direct contributions can be made via Wise bank.  
If you are able to assist please visit this page:  
<https://thecrowhouse.com/contribute.html>  
Any support is greatly appreciated


Crypto-currencies:


Bitcoin:  
bc1qj3vrxj4zyyuaq2f8r3vgur6nrejgewckfv7gpa  
Ethereum:  
0x924C0F9A9889f703a9220eCf322342B9d6BDb32D  
Monero: 87myJVoX3H4Pfd3hDp2wujHeB6K7VdFYF2zJJmoqGv8yE55mQDJdg3ySqnmwBXdZLrhJyydykgs2khmckmJNadaeHY3CrYQ  
Pirate Chain: zs1f7jvqcntcplpfnva2lw7spwzr0xa5x7wczneg0v2epl78quqnt9ggudrk02yyzp8t4zy7pmflat  
Litecoin:  
LcTY57kkuWaSF8YqC9EbLpxBj5kcQzMLhQ  
Dash:  
XfGA55jscnDdHyQKhKTAEHQMP6GhqC5AGm  
Bitcoin Cash:  
qrnrjs27537pwd5ss2g6ez8epyp2cjfu8vu4tlrn5g  
XRP:  
rBDovEDF53dPqHbNR3CEbmim3Aapo4tXq2


Fundraiser for my friend Nedal in Gaza  
<https://www.gofundme.com/f/4-generations-of-palestinian-family-live-in-shack>


Joe Rogan on Hitler  
<https://t.me/secret_history2/3376>


Bot Farm  
<https://t.me/STFNREPORT/30727>


Rishi Sunak, floats the idea of restricting driving licenses and financial access to anyone who refuses National Service  
<https://x.com/PKikos/status/1804255658679898297/video/1>


Navy discovers 3.5 tons of cocaine floating in the sea of Acapulco  
<https://laverdadnoticias.com/crimen/Increible-Marina-descubre-3.5-toneladas-de-cocaina-flotando-en-el-mar-de-Acapulco-20240628-0016.html>


Scientists Connect 16 Mini Brains Made of Human Tissue to Create a ""Living Computer""  
<https://futurism.com/neoscope/mini-brains-human-tissue-living-computer>


Candice Owen - Bolsheviks  
<https://x.com/i/status/1806980699754299860> 


Tucker Carlson - New Views on 911  
<https://www.instagram.com/primetimestein/reel/C045Mduu06L/>


Goyim Goddess - Chabad Lubavitch (end clip)  
<https://odysee.com/@januszkowalskii1979:e/Goyim-Goddess---Chabad-Lubavitch:b>


Goyim Flyers  
<https://www.gtvflyers.com/>


Anarchapulco Virtual Replay  
<https://cdn.dollarvigilante.com/slpg-2024-anarchapulco-virtual?utm_source=jeff&utm_medium=video&utm_campaign=anarchapulco-virtual>


Max Igan en Español   
<https://www.bitchute.com/channel/maxiganenespanol/>  
<https://odysee.com/@MaxIganenEspa%C3%B1ol:5>


Biometric Update  
<https://www.biometricupdate.com/>


Guide to Forming Communities Spanish Edition  
<http://thecrowhouse.com/Documents/Guide%20to%20Forming%20Communities%20Spanish%20Edition.pdf>


Commonwealth of Australia States Assembly  
<https://commonwealthofaustraliastatesassembly.com/>


""The illusion of freedom will continue for as long as it's profitable to continue the illusion. At the point where the illusion becomes too expensive to maintain, they will take down the scenery, move the tables and chairs out of the way, then they will pull back the curtains and you will see the brick wall at the back of the theater."" - Frank Zappa


“The past was erased, the erasure was forgotten, the lie became the truth."" - George Orwell


“There is more stupidity than hydrogen in the universe, and it has a longer shelf life.” ― Frank Zappa


""A single person who stops lying can bring down a tyranny"" Alexandr Solzhenitsyn


TURN OFF YOUR TELEVISION!!!


THROW AWAY YOUR SMART PHONE!!!

","['https://thecrowhouse.com', 'https://www.bitchute.com/channel/TheCrowhouse/', 'https://odysee.com/@thecrowhouse:2', 'https://rumble.com/c/c-4683704', 'https://vigilante.tv/c/the_crowhouse/', 'https://tube.freedom.buzz/channel/thecrowhouse', 'https://clouthub.com/c/thecrowhouse', 'https://3speak.tv/user/maxigan', 'https://bastyon.com/maxigan', 'https://twitter.com/thecrowhouse', 'https://www.instagram.com/max_igan/', 'https://www.tiktok.com/@thecrowhouse1', 'https://www.mixcloud.com/discover/the-crowhouse/', 'https://t.me/thecrowhouseoffical', 'https://gab.com/MaxIgan', 'https://www.gettr.com/user/thecrowhouse', 'https://www.minds.com/maxiganscrowhouse/', 'https://mewe.com/group/5aa84d353016dd184af55702', 'https://www.altcensored.com/channel/UCegOTmclzjfKuQh0SHflqww', 'https://audio.com/the-crowhouse', 'https://thecrowhouse.community/', 'https://thecrowhouse.com/contribute.html', 'https://www.gofundme.com/f/4-generations-of-palestinian-family-live-in-shack', 'https://t.me/secret_history2/3376', 'https://t.me/STFNREPORT/30727', 'https://x.com/PKikos/status/1804255658679898297/video/1', 'https://laverdadnoticias.com/crimen/Increible-Marina-descubre-3.5-toneladas-de-cocaina-flotando-en-el-mar-de-Acapulco-20240628-0016.html', 'https://futurism.com/neoscope/mini-brains-human-tissue-living-computer', 'https://x.com/i/status/1806980699754299860', 'https://www.instagram.com/primetimestein/reel/C045Mduu06L/', 'https://odysee.com/@januszkowalskii1979:e/Goyim-Goddess---Chabad-Lubavitch:b', 'https://www.gtvflyers.com/', 'https://cdn.dollarvigilante.com/slpg-2024-anarchapulco-virtual?utm_source=jeff&utm_medium=video&utm_campaign=anarchapulco-virtual', 'https://www.bitchute.com/channel/maxiganenespanol/', 'https://odysee.com/@MaxIganenEspa%C3%B1ol:5', 'https://www.biometricupdate.com/', 'http://thecrowhouse.com/Documents/Guide%20to%20Forming%20Communities%20Spanish%20Edition.pdf', 'https://commonwealthofaustraliastatesassembly.com/']",10 hours ago,590,23,101425,10,10613,https://api.bitchute.com/video/gWt8Vjotb9Zo
Ggu34XZhrWpA,"Ep. 3393b - [JB]/[BO] Are Slick, Don’t Believe The Noise, Trump Has Them Falling Right Into The Trap",No Hashtags,8831,1:02:14,X22report,x22report,"Chuck Norris Made A Special Video  
Learn What He Discovered  
Go To <https://ChuckDefense.com/X22>


 The [DS] is now scrambling, everything they have done for the last many years is falling apart. The EU is being transformed right before their eyes, this cannot be stopped. [JB]/[BO] know they go to protect themselves from the fallout and make sure they are not prosecuted in the end. They are now moving to take [JB] out using the 25th to shield him against prosecution. [BO]/[HRC] will try to take back control. They are falling right into Trump's trap. 


Grab Your Contagion Emergency Kit  
X22 Saves You 10% At Checkout  
<https://twc.health/X22>


All source links to the report can be found on the [x22report.com](http://x22report.com) site.


Most of artwork that are included with these videos have been created by X22 Report and they are used as a representation of the subject matter. The representative artwork included with these videos shall not be construed as the actual events that are taking place.


Intro Video Music: YouTube Free Music: Cataclysmic Molten Core by Jingle Punks


Intro Music: YouTube Free Music: Warrior Strife by Jingle Punks


Fair Use Notice: This video contains some copyrighted material whose use has not been authorized by the copyright owners. We believe that this not-for-profit, educational, and/or criticism or commentary use on the Web constitutes a fair use of the copyrighted material (as provided for in section 107 of the US Copyright Law. If you wish to use this copyrighted material for purposes that go beyond fair use, you must obtain permission from the copyright owner. Fair Use notwithstanding we will immediately comply with any copyright owner who wants their material removed or modified, wants us to link to their web site, or wants us to add their photo.


The X22 Report is ""one man's opinion"". Anything that is said on the report is either opinion, criticism, information or commentary, If making any type of investment or legal decision it would be wise to contact or consult a professional before making that decision.


Use the information found in these videos as a starting point for conducting your own research and conduct your own due diligence before making any significant investing decisions.

","['https://ChuckDefense.com/X22', 'https://twc.health/X22', 'http://x22report.com']",19 hours ago,410,123,195680,19,9364,https://api.bitchute.com/video/Ggu34XZhrWpA
CcQPc3qEUlBU,"TRANSFECTION, DEMOCIDE & THE INTERNET OF BODIES -- Dr. Robert Young","#sgtreport,#news,#vaccines",6988,1:12:21,SGT Report,sgt-report,"Protect Your Retirement W/ a Gold and/or Silver IRA:  
<https://www.sgtreportgold.com/>  
or CALL( 877) 646-5347 - Noble Gold is Who I Trust  
----------------------  
Nature’s Morphine? Medical scientist Clint Winters discusses the incredible pain relief effects of 100% Drug Free Conolidine: <https://trycono.com/SGT>  
This changes pain relief FOREVER ↑ ↑ ↑ ↑ ↑ ↑ ↑ ↑


Dr. Robert Young returns to SGT Report with tangible scientific data that will blow you away. Do you know what's in the new popular diet drug that's sweeping the nation? Do you know what's in the blood of all of us now? Do you know how to get it out? Watch NOW to discover the TRUTH.


Get the NANO-TECH & Heavy Metals out of your blood w/ Master Peace  
<https://masterpeacebyhcs.com/?ref=4094>


PH Miracle Products:  
<https://phmiracleproducts.com?aff=63>


Please Support Dr. Young's Legal Fund on Give Send Go:  
<https://www.givesendgo.com/G2Z76>  


","['https://www.sgtreportgold.com/', 'https://trycono.com/SGT', 'https://masterpeacebyhcs.com/?ref=4094', 'https://phmiracleproducts.com?aff=63', 'https://www.givesendgo.com/G2Z76']",17 hours ago,238,21,132743,17,7247,https://api.bitchute.com/video/CcQPc3qEUlBU
bEOGgVcZ5HC7,🎉Funny Bits Part 3 | Kill some time⌛️ and laugh today👇🤣,No Hashtags,3680,1:21:03,JoshWho #SeekingTheTruth,seekingthetruth,"🎉Funny Bits Part 3 | Kill some time⌛️ and laugh today👇🤣😂 Bigger Longer Uncut🎭  
Have a wonderful day‼️♥️🙏

",[],23 hours ago,9,0,9705,23,3689,https://api.bitchute.com/video/bEOGgVcZ5HC7
Ro5RFh1j9rrD,Trust In Biden Is Falling | On The Fringe,"#maga,#news,#daily",3584,1:08:24,OnTheFringe,on-the-fringe-with-dan-radiostyle,"Learn how to protect your life savings from inflation and an irresponsible government, with Gold and Silver > [www.DRSLikesGold.com](http://www.DRSLikesGold.com) <  
#Ad #Sponsor   
Home Battery Backup: <https://www.inergytek.com/ONTHEFRINGE>  
The Wellness Company (Med Kits/First Aid): <https://www.twc.health/otf>  
Dogs/Cats Wellness Products: [www.danradiostyle.petclub247.com](http://www.danradiostyle.petclub247.com)


The deep state is in a really tough place that just does not get any easier for them no matter what way they go. There time has run out and the truth is playing out for all to see. Time to enjoy one of the best parts of the movie/ 


Text to 70301: Teddy (for the Trump Teddy) Dan (For the bobble head) Collect (for the Trump cards)  
ProudPatriots: <https://www.proudpatriots.us/78DTMM/6H52ND/>  
[danbear.proudpatriots.com](http://danbear.proudpatriots.com) - Trump Teddy 


My Pillow and My Store:  
<https://www.mypillow.com/otf>  
<https://mystore.com/otf>  
Promo code at check out: OTF  
If you prefer to talk to a human: 1-800-654-4398


ROOT Brands (Healthy Choices for Healthy Living): <https://therootbrands.com/danradiostyle>  
Help keep yourself healthy. ZStack - <https://zstacklife.com/?ref=DANRADIOSTYLE> Coupon Code: DANRADIOSTYLE


A couple prep examples, to get you thinking. ;)  
MRE's (example of what I got): <https://amzn.to/3MKhXhr>


Merchandise:  
Dan I'd Rather Merch: <https://www.bonfire.com/dan-id-rather160/>  
5G Warfare Shirts and Mugs <https://truththread.shop/>


Platforms I am on:  
Bitchute: <https://www.bitchute.com/channel/Htw7sVXytG2m/>  
Rumble: <https://rumble.com/c/OnTheFringe>  
Odysee: <https://odysee.com/@OnTheFringe:2>  
Gab: <https://gab.com/OTFWithDanRadioStyle>  
GETTR: <https://gettr.com/user/onthefringe>  
TruthSocial: <https://truthsocial.com/@OnTheFringe>  
Twitter: <https://twitter.com/OTFWithDRS>


Amazing Wet Marinator (I use this 2-3 times a week, I freaking love it) : <https://amzn.to/3oiC7o2>  
What I Used To Stop Smoking. Me, 21 years smoking (1+pk/day). Stopped cold turkey. Buy this, ONLY if you are serious and ready. : <https://amzn.to/2TZKVlH>


Manifesting, Law of Attraction stuff  
Dan Radiostyle: <https://www.youtube.com/channel/UCEDpZFi8v7ggymxR6WpzXhQ>  
Peace&Love,  
Dan RadioStyle

","['http://www.DRSLikesGold.com', 'https://www.inergytek.com/ONTHEFRINGE', 'https://www.twc.health/otf', 'http://www.danradiostyle.petclub247.com', 'https://www.proudpatriots.us/78DTMM/6H52ND/', 'http://danbear.proudpatriots.com', 'https://www.mypillow.com/otf', 'https://mystore.com/otf', 'https://therootbrands.com/danradiostyle', 'https://zstacklife.com/?ref=DANRADIOSTYLE', 'https://amzn.to/3MKhXhr', 'https://www.bonfire.com/dan-id-rather160/', 'https://truththread.shop/', 'https://www.bitchute.com/channel/Htw7sVXytG2m/', 'https://rumble.com/c/OnTheFringe', 'https://odysee.com/@OnTheFringe:2', 'https://gab.com/OTFWithDanRadioStyle', 'https://gettr.com/user/onthefringe', 'https://truthsocial.com/@OnTheFringe', 'https://twitter.com/OTFWithDRS', 'https://amzn.to/3oiC7o2', 'https://amzn.to/2TZKVlH', 'https://www.youtube.com/channel/UCEDpZFi8v7ggymxR6WpzXhQ']",21 hours ago,167,9,29879,21,3760,https://api.bitchute.com/video/Ro5RFh1j9rrD
AXAqjwaU-AE,They Got The Sads About It 😂,No Hashtags,3302,18:26,Mark Dice,markdice,".  
🚨 Order my new book from Amazon here: <https://amzn.to/40vEC9U>


⚠️ Order your Mark Dice t-shirts here: <https://www.markdice.shop>


⚡️ Join my exclusive Locals community here: <https://markdice.locals.com/support>


🎥 Sponsor me through Patreon here: <https://Patreon.com/MarkDice> 


Order my book ""Hollywood Propaganda: How TV, Movies, and Music Shape Our Culture"" from Amazon: <https://amzn.to/30xPFl5> or download the e-book from Kindle, iBooks, Google Play, or Nook.


📖 Order my book, ""The True Story of Fake News"" ➡️ <https://amzn.to/2Zb1Vps> 


📖 Order my book ""The Liberal Media Industrial Complex"" here: <https://amzn.to/2X5oGKx> 


Mark Dice is an independent media analyst and bestselling author of ""Hollywood Propaganda: How TV, Movies, and Music Shape Our Culture.” He has a bachelor's degree in Communication from California State University and was the first conservative YouTuber to reach 1 million subscribers (in 2017). 


He has been featured on Fox News, Newsmax, the History Channel, E! Entertainment, the Drudge Report, and news outlets around the world. 


This video description and the pinned comment contains Amazon and/or other affiliate links, which means if you click them and purchase the product(s), Mark will receive a small commission. 


Copyright © 2024 by Mark Dice. All Rights Reserved.

","['https://amzn.to/40vEC9U', 'https://www.markdice.shop', 'https://markdice.locals.com/support', 'https://Patreon.com/MarkDice', 'https://amzn.to/30xPFl5', 'https://amzn.to/2Zb1Vps', 'https://amzn.to/2X5oGKx']",6 hours ago,265,11,85179,6,3578,https://api.bitchute.com/video/AXAqjwaU-AE
IaLZO5DgG5Y,Hunter Biden is Now in Executive White House Meetings to Protect His Dad,No Hashtags,3289,7:59,The Salty Cracker,thesaltycracker,"Website: <https://saltmustflow.com>


OTHER PLATFORMS:  
Rumble: <https://rumble.com/c/SaltyCracker>  
Locals: <https://saltycracker.locals.com/>  
Twitter/X: <https://twitter.com/SaltyCracker9>


SUPPORT SALTY:  
Website: <https://saltmustflow.com/support/>  
SubscribeStar: <https://www.subscribestar.com/salty-cracker>  
Cash App: <https://cash.app/$saltmustflow>  
Merchandise: <https://saltmustflow.com/shop/>


Mrs. Salty's Channel: <https://www.youtube.com/channel/UChnZMOno3rthe1LHvcxufdw>


Music by:  
<https://incompetech.com/>  
Crinoline Dreams  
In Your Arms


--Disclaimer--  
These are the opinions and ramblings of a foul-mouthed lunatic. They are for entertainment purposes only and are probably wrong. You listen at your own risk.

","['https://saltmustflow.com', 'https://rumble.com/c/SaltyCracker', 'https://saltycracker.locals.com/', 'https://twitter.com/SaltyCracker9', 'https://saltmustflow.com/support/', 'https://www.subscribestar.com/salty-cracker', 'https://cash.app/$saltmustflow', 'https://saltmustflow.com/shop/', 'https://www.youtube.com/channel/UChnZMOno3rthe1LHvcxufdw', 'https://incompetech.com/']",6 hours ago,167,8,125462,6,3464,https://api.bitchute.com/video/IaLZO5DgG5Y
R5X5WoHRRZwz,Epstein Files Come At A Bad Time For The Elite,"#epstein,#files,#EXPOSEELITE",2849,6:11,BANNED.VIDEO,banned-dot-video,"Its not a good time. The Democratic party is crumbling. Pfizer is being fully exposed as a corporation of genocidal greed. And the elite are facing a populist uprising the likes of which they have never seen. And now a judge releases Epstein court documents that could possibly lead to these people in horrifying detail.  
\*\*ALEX JONES ON X <https://twitter.com/RealAlexJones>  
\*\*https://drjonesnaturals.com/ - SAVE INFOWARS!! BUY NOW!!  
$$URGENT! Keep Alex Jones in the fight! contribute at <https://www.givesendgo.com/savealex>  
\*\*Alex Jones NWO Wars NOW AVAILABLE on Steam! <https://shorturl.at/bknpv>  
\*\*Power up with Nitric Boost that’s now 40% OFF! <https://shorturl.at/etY28>  
\*\*Save 40% on our limited edition Brain Force Ultra! <https://shorturl.at/rxS89>  
\*\*Ultimate Fish Oil Now 40% OFF! <https://www.infowarsstore.com/ultimate-fish-oil>  
\*\*Ultra 12 is now 40% OFF...Get it today! <https://www.infowarsstore.com/ultra-12-b12>

","['https://twitter.com/RealAlexJones', 'https://www.givesendgo.com/savealex', 'https://shorturl.at/bknpv', 'https://shorturl.at/etY28', 'https://shorturl.at/rxS89', 'https://www.infowarsstore.com/ultimate-fish-oil', 'https://www.infowarsstore.com/ultra-12-b12']",20 hours ago,59,8,161368,20,2916,https://api.bitchute.com/video/R5X5WoHRRZwz
zqoQTunlnsQ,Will the Stock Market Collapse?,No Hashtags,2835,6:20,Styxhexenhammer666,styxhexenhammer666,"<https://archive.ph/Arv3g>


SPONSORS:  
<https://cultivated-mind.com>  
<https://pumpkinfirecrafts.us>  
<http://biltongusa.com>  
<https://wickedneedleembroidery.bigcartel.com>  
<https://www.heritageheirloomseedcompany.com>  
<https://www.websterswares.com/styx-wares>  
<http://jamnbean.com>  
<http://MTpew.com>  
<http://www.brickmuseum.com>


My books:  
Blogger: <https://tinyurl.com/y3tww3om>  
Wordpress: <https://tinyurl.com/y54kofgl>


Where to Find Me:  
Substack: <https://tarl.substack.com>  
Youtube: <https://tinyurl.com/y6zc4quo>  
Bitchute: <https://tinyurl.com/y55lzhlz>  
Rumble: <https://tinyurl.com/y5692j87>  
Odysee: <https://tinyurl.com/y4fsbqzz>  
Minds: <https://tinyurl.com/y3ytf6ut>  
Twitter: <https://tinyurl.com/yyle5u6s>  
Gab: <https://tinyurl.com/y2rctakd>  
Gettr: <https://www.gettr.com/user/styx666official>


BTC: 17q1BfF2up8orEKN8DQgpEPX83RfbAZ5QL  
ETH: 0x956e7aF6706C3b5E2cf7e15c16c7018c4f42aF79  
LTC: LQNJed6vDhR4U4LB7g8jGep4UQ7yeqJdPw  
Dogecoin: DNYSanJEY8fbxUzwjTJWA3d1Sna9hra4NJ  
BCH: qz2wtp2w8grldn7gw5guqc42zxsgwuen8qxk49mhv9  
SHIB: 0x956e7aF6706C3b5E2cf7e15c16c7018c4f42aF79


#Trump #Stonks

","['https://archive.ph/Arv3g', 'https://cultivated-mind.com', 'https://pumpkinfirecrafts.us', 'http://biltongusa.com', 'https://wickedneedleembroidery.bigcartel.com', 'https://www.heritageheirloomseedcompany.com', 'https://www.websterswares.com/styx-wares', 'http://jamnbean.com', 'http://MTpew.com', 'http://www.brickmuseum.com', 'https://tinyurl.com/y3tww3om', 'https://tinyurl.com/y54kofgl', 'https://tarl.substack.com', 'https://tinyurl.com/y6zc4quo', 'https://tinyurl.com/y55lzhlz', 'https://tinyurl.com/y5692j87', 'https://tinyurl.com/y4fsbqzz', 'https://tinyurl.com/y3ytf6ut', 'https://tinyurl.com/yyle5u6s', 'https://tinyurl.com/y2rctakd', 'https://www.gettr.com/user/styx666official']",10 hours ago,137,15,144447,10,2987,https://api.bitchute.com/video/zqoQTunlnsQ
KS3EV9vs55vw,Real BYEDEN and OBUMMMER,"#whitehats,#trump,#flash",2725,1:04,bluewater,bluewater,"both 33 Degree Freemason PEDOS already executed  
so much for all the FREEMASON ASSperts on SHIT CHUTE trending talking about nothing to  
SHIT CHUTE know it all followers  
you can't fix stupid or BALD HEAD Turkeys  
spewing from both ends diarrhea every day.....

",[],22 hours ago,120,9,40070,22,2854,https://api.bitchute.com/video/KS3EV9vs55vw
